,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,response,response_binary
0,58,management,married,tertiary,no,2143,yes,no,5,may,4.35,1,-1,0,unknown,no,0
1,44,technician,single,secondary,no,29,yes,no,5,may,2.52,1,-1,0,unknown,no,0
2,33,entrepreneur,married,secondary,no,2,yes,yes,5,may,1.27,1,-1,0,unknown,no,0
5,35,management,married,tertiary,no,231,yes,no,5,may,2.32,1,-1,0,unknown,no,0
6,28,management,single,tertiary,no,447,yes,yes,5,may,3.62,1,-1,0,unknown,no,0
7,42,entrepreneur,divorced,tertiary,yes,2,yes,no,5,may,6.33,1,-1,0,unknown,no,0
8,58,retired,married,primary,no,121,yes,no,5,may,0.83,1,-1,0,unknown,no,0
9,43,technician,single,secondary,no,593,yes,no,5,may,0.92,1,-1,0,unknown,no,0
10,41,admin.,divorced,secondary,no,270,yes,no,5,may,3.7,1,-1,0,unknown,no,0
11,29,admin.,single,secondary,no,390,yes,no,5,may,2.28,1,-1,0,unknown,no,0
12,53,technician,married,secondary,no,6,yes,no,5,may,8.62,1,-1,0,unknown,no,0
14,57,services,married,secondary,no,162,yes,no,5,may,2.9,1,-1,0,unknown,no,0
15,51,retired,married,primary,no,229,yes,no,5,may,5.88,1,-1,0,unknown,no,0
17,57,blue-collar,married,primary,no,52,yes,no,5,may,0.63,1,-1,0,unknown,no,0
18,60,retired,married,primary,no,60,yes,no,5,may,3.65,1,-1,0,unknown,no,0
19,33,services,married,secondary,no,0,yes,no,5,may,0.9,1,-1,0,unknown,no,0
20,28,blue-collar,married,secondary,no,723,yes,yes,5,may,4.37,1,-1,0,unknown,no,0
21,56,management,married,tertiary,no,779,yes,no,5,may,2.73,1,-1,0,unknown,no,0
22,32,blue-collar,single,primary,no,23,yes,yes,5,may,2.67,1,-1,0,unknown,no,0
23,25,services,married,secondary,no,50,yes,no,5,may,5.7,1,-1,0,unknown,no,0
24,40,retired,married,primary,no,0,yes,yes,5,may,3.02,1,-1,0,unknown,no,0
25,44,admin.,married,secondary,no,-372,yes,no,5,may,2.87,1,-1,0,unknown,no,0
26,39,management,single,tertiary,no,255,yes,no,5,may,4.93,1,-1,0,unknown,no,0
27,52,entrepreneur,married,secondary,no,113,yes,yes,5,may,2.12,1,-1,0,unknown,no,0
28,46,management,single,secondary,no,-246,yes,no,5,may,4.25,2,-1,0,unknown,no,0
29,36,technician,single,secondary,no,265,yes,yes,5,may,5.8,1,-1,0,unknown,no,0
30,57,technician,married,secondary,no,839,no,yes,5,may,3.75,1,-1,0,unknown,no,0
31,49,management,married,tertiary,no,378,yes,no,5,may,3.83,1,-1,0,unknown,no,0
32,60,admin.,married,secondary,no,39,yes,yes,5,may,3.47,1,-1,0,unknown,no,0
33,59,blue-collar,married,secondary,no,0,yes,no,5,may,3.77,1,-1,0,unknown,no,0
35,57,technician,divorced,secondary,no,63,yes,no,5,may,4.03,1,-1,0,unknown,no,0
36,25,blue-collar,married,secondary,no,-7,yes,no,5,may,6.08,1,-1,0,unknown,no,0
37,53,technician,married,secondary,no,-3,no,no,5,may,27.77,1,-1,0,unknown,no,0
38,36,admin.,divorced,secondary,no,506,yes,no,5,may,9.62,1,-1,0,unknown,no,0
39,37,admin.,single,secondary,no,0,yes,no,5,may,2.28,1,-1,0,unknown,no,0
40,44,services,divorced,secondary,no,2586,yes,no,5,may,2.67,1,-1,0,unknown,no,0
41,50,management,married,secondary,no,49,yes,no,5,may,3.0,2,-1,0,unknown,no,0
43,54,retired,married,secondary,no,529,yes,no,5,may,24.87,1,-1,0,unknown,no,0
45,36,admin.,single,primary,no,-171,yes,no,5,may,4.03,1,-1,0,unknown,no,0
46,58,self-employed,married,tertiary,no,-364,yes,no,5,may,5.92,1,-1,0,unknown,no,0
47,44,technician,married,secondary,no,0,yes,no,5,may,3.75,2,-1,0,unknown,no,0
48,55,technician,divorced,secondary,no,0,no,no,5,may,2.67,1,-1,0,unknown,no,0
49,29,management,single,tertiary,no,0,yes,no,5,may,6.05,1,-1,0,unknown,no,0
50,54,blue-collar,married,secondary,no,1291,yes,no,5,may,4.43,1,-1,0,unknown,no,0
51,48,management,divorced,tertiary,no,-244,yes,no,5,may,4.22,1,-1,0,unknown,no,0
52,32,management,married,tertiary,no,0,yes,no,5,may,2.98,1,-1,0,unknown,no,0
53,42,admin.,single,secondary,no,-76,yes,no,5,may,13.12,1,-1,0,unknown,no,0
54,24,technician,single,secondary,no,-103,yes,yes,5,may,2.42,1,-1,0,unknown,no,0
55,38,entrepreneur,single,tertiary,no,243,no,yes,5,may,2.9,1,-1,0,unknown,no,0
56,38,management,single,tertiary,no,424,yes,no,5,may,1.73,1,-1,0,unknown,no,0
59,46,services,married,primary,no,179,yes,no,5,may,29.63,1,-1,0,unknown,no,0
60,32,admin.,married,tertiary,no,0,yes,no,5,may,2.3,1,-1,0,unknown,no,0
61,53,technician,divorced,secondary,no,989,yes,no,5,may,13.53,1,-1,0,unknown,no,0
62,57,blue-collar,married,primary,no,249,yes,no,5,may,2.73,1,-1,0,unknown,no,0
63,33,services,married,secondary,no,790,yes,no,5,may,6.52,1,-1,0,unknown,no,0
65,51,management,married,tertiary,no,6530,yes,no,5,may,1.52,1,-1,0,unknown,no,0
66,60,retired,married,tertiary,no,100,no,no,5,may,8.8,1,-1,0,unknown,no,0
67,59,management,divorced,tertiary,no,59,yes,no,5,may,4.55,1,-1,0,unknown,no,0
68,55,technician,married,secondary,no,1205,yes,no,5,may,2.63,2,-1,0,unknown,no,0
70,57,blue-collar,married,secondary,no,5935,yes,yes,5,may,4.3,1,-1,0,unknown,no,0
71,31,services,married,secondary,no,25,yes,yes,5,may,2.87,1,-1,0,unknown,no,0
72,54,management,married,secondary,no,282,yes,yes,5,may,2.57,1,-1,0,unknown,no,0
73,55,blue-collar,married,primary,no,23,yes,no,5,may,4.85,1,-1,0,unknown,no,0
74,43,technician,married,secondary,no,1937,yes,no,5,may,3.02,1,-1,0,unknown,no,0
75,53,technician,married,secondary,no,384,yes,no,5,may,2.93,1,-1,0,unknown,no,0
76,44,blue-collar,married,secondary,no,582,no,yes,5,may,3.52,1,-1,0,unknown,no,0
77,55,services,divorced,secondary,no,91,no,no,5,may,5.82,1,-1,0,unknown,no,0
78,49,services,divorced,secondary,no,0,yes,yes,5,may,4.53,1,-1,0,unknown,no,0
79,55,services,divorced,secondary,yes,1,yes,no,5,may,3.47,1,-1,0,unknown,no,0
80,45,admin.,single,secondary,no,206,yes,no,5,may,3.22,1,-1,0,unknown,no,0
81,47,services,divorced,secondary,no,164,no,no,5,may,3.53,1,-1,0,unknown,no,0
82,42,technician,single,secondary,no,690,yes,no,5,may,0.33,1,-1,0,unknown,no,0
83,59,admin.,married,secondary,no,2343,yes,no,5,may,17.37,1,-1,0,unknown,yes,1
84,46,self-employed,married,tertiary,no,137,yes,yes,5,may,4.1,1,-1,0,unknown,no,0
85,51,blue-collar,married,primary,no,173,yes,no,5,may,8.82,2,-1,0,unknown,no,0
86,56,admin.,married,secondary,no,45,no,no,5,may,24.45,1,-1,0,unknown,yes,1
87,41,technician,married,secondary,no,1270,yes,no,5,may,23.15,1,-1,0,unknown,yes,1
88,46,management,divorced,secondary,no,16,yes,yes,5,may,3.13,2,-1,0,unknown,no,0
89,57,retired,married,secondary,no,486,yes,no,5,may,3.0,2,-1,0,unknown,no,0
90,42,management,single,secondary,no,50,no,no,5,may,0.8,1,-1,0,unknown,no,0
91,30,technician,married,secondary,no,152,yes,yes,5,may,3.55,2,-1,0,unknown,no,0
92,60,admin.,married,secondary,no,290,yes,no,5,may,9.72,1,-1,0,unknown,no,0
94,57,entrepreneur,divorced,secondary,no,-37,no,no,5,may,2.88,1,-1,0,unknown,no,0
95,36,management,married,tertiary,no,101,yes,yes,5,may,7.1,1,-1,0,unknown,no,0
96,55,blue-collar,married,secondary,no,383,no,no,5,may,4.78,1,-1,0,unknown,no,0
97,60,retired,married,tertiary,no,81,yes,no,5,may,1.68,1,-1,0,unknown,no,0
98,39,technician,married,secondary,no,0,yes,no,5,may,3.38,1,-1,0,unknown,no,0
99,46,management,married,tertiary,no,229,yes,no,5,may,3.28,1,-1,0,unknown,no,0
100,44,blue-collar,married,secondary,no,-674,yes,no,5,may,4.28,1,-1,0,unknown,no,0
101,53,blue-collar,married,primary,no,90,no,no,5,may,2.07,1,-1,0,unknown,no,0
102,52,blue-collar,married,primary,no,128,yes,no,5,may,3.82,1,-1,0,unknown,no,0
103,59,blue-collar,married,primary,no,179,yes,no,5,may,0.92,3,-1,0,unknown,no,0
104,27,technician,single,tertiary,no,0,yes,no,5,may,6.67,1,-1,0,unknown,no,0
105,44,blue-collar,married,secondary,no,54,yes,no,5,may,3.28,1,-1,0,unknown,no,0
106,47,technician,married,tertiary,no,151,yes,no,5,may,3.17,1,-1,0,unknown,no,0
107,34,admin.,married,secondary,no,61,no,yes,5,may,0.35,1,-1,0,unknown,no,0
108,59,retired,single,secondary,no,30,yes,no,5,may,8.57,1,-1,0,unknown,no,0
109,45,management,married,tertiary,no,523,yes,no,5,may,14.15,2,-1,0,unknown,no,0
110,29,services,divorced,secondary,no,31,yes,no,5,may,3.23,1,-1,0,unknown,no,0
111,46,technician,divorced,secondary,no,79,no,no,5,may,2.4,1,-1,0,unknown,no,0
112,56,self-employed,married,primary,no,-34,yes,yes,5,may,3.53,2,-1,0,unknown,no,0
113,36,blue-collar,married,primary,no,448,yes,no,5,may,4.77,1,-1,0,unknown,no,0
114,59,retired,divorced,primary,no,81,yes,no,5,may,1.78,1,-1,0,unknown,no,0
115,44,blue-collar,married,secondary,no,144,yes,no,5,may,4.12,2,-1,0,unknown,no,0
116,41,admin.,married,secondary,no,351,yes,no,5,may,8.63,1,-1,0,unknown,no,0
117,33,management,single,tertiary,no,-67,yes,no,5,may,6.07,1,-1,0,unknown,no,0
118,59,management,divorced,tertiary,no,262,no,no,5,may,2.97,1,-1,0,unknown,no,0
119,57,technician,married,primary,no,0,no,no,5,may,1.63,1,-1,0,unknown,no,0
121,51,blue-collar,married,secondary,no,26,yes,no,5,may,1.32,1,-1,0,unknown,no,0
123,43,services,married,secondary,no,41,yes,yes,5,may,2.12,2,-1,0,unknown,no,0
124,52,technician,married,tertiary,no,7,no,yes,5,may,2.92,1,-1,0,unknown,no,0
125,33,technician,single,secondary,no,105,yes,no,5,may,4.37,2,-1,0,unknown,no,0
126,29,admin.,single,secondary,no,818,yes,yes,5,may,1.02,1,-1,0,unknown,no,0
127,34,services,married,secondary,no,-16,yes,yes,5,may,1.3,1,-1,0,unknown,no,0
128,31,blue-collar,married,secondary,no,0,yes,no,5,may,2.38,1,-1,0,unknown,no,0
129,55,services,married,secondary,no,2476,yes,no,5,may,9.65,1,-1,0,unknown,yes,1
131,32,admin.,single,secondary,no,217,yes,no,5,may,5.75,1,-1,0,unknown,no,0
132,38,technician,single,secondary,no,1685,yes,no,5,may,3.08,1,-1,0,unknown,no,0
133,55,admin.,single,secondary,no,802,yes,yes,5,may,1.67,2,-1,0,unknown,no,0
134,28,unemployed,single,tertiary,no,0,yes,no,5,may,2.08,2,-1,0,unknown,no,0
135,23,blue-collar,married,secondary,no,94,yes,no,5,may,3.22,1,-1,0,unknown,no,0
136,32,technician,single,secondary,no,0,yes,no,5,may,2.27,1,-1,0,unknown,no,0
138,32,blue-collar,married,secondary,no,517,yes,no,5,may,8.8,1,-1,0,unknown,no,0
139,46,blue-collar,married,secondary,no,265,yes,no,5,may,9.02,1,-1,0,unknown,no,0
140,53,housemaid,divorced,primary,no,947,yes,no,5,may,2.72,1,-1,0,unknown,no,0
141,34,self-employed,single,secondary,no,3,yes,no,5,may,5.02,1,-1,0,unknown,no,0
142,57,unemployed,married,tertiary,no,42,no,no,5,may,0.77,1,-1,0,unknown,no,0
143,37,blue-collar,married,secondary,no,37,yes,no,5,may,3.4,1,-1,0,unknown,no,0
144,59,blue-collar,married,secondary,no,57,yes,no,5,may,1.63,1,-1,0,unknown,no,0
145,33,services,married,secondary,no,22,yes,no,5,may,1.18,1,-1,0,unknown,no,0
146,56,blue-collar,divorced,primary,no,8,yes,no,5,may,2.62,2,-1,0,unknown,no,0
147,48,unemployed,married,secondary,no,293,yes,no,5,may,4.05,1,-1,0,unknown,no,0
148,43,services,married,primary,no,3,yes,no,5,may,3.1,2,-1,0,unknown,no,0
149,54,blue-collar,married,primary,no,348,yes,no,5,may,9.65,2,-1,0,unknown,no,0
151,26,student,single,secondary,no,0,yes,no,5,may,10.17,2,-1,0,unknown,no,0
152,40,management,married,tertiary,no,-4,yes,no,5,may,33.88,1,-1,0,unknown,no,0
153,39,management,married,secondary,no,18,yes,no,5,may,1.42,1,-1,0,unknown,no,0
154,50,technician,married,primary,no,139,no,no,5,may,1.9,2,-1,0,unknown,no,0
155,41,services,married,secondary,no,0,yes,no,5,may,1.9,2,-1,0,unknown,no,0
157,60,retired,divorced,secondary,no,216,yes,no,5,may,3.97,1,-1,0,unknown,no,0
158,52,blue-collar,married,secondary,no,782,yes,no,5,may,1.55,3,-1,0,unknown,no,0
159,48,blue-collar,married,secondary,no,904,yes,no,5,may,2.13,2,-1,0,unknown,no,0
161,39,technician,single,tertiary,no,47,yes,no,5,may,3.02,1,-1,0,unknown,no,0
